DATE,ETH_USD,BTC_USD
2017-10-05,294.97900000000004,4320.64
2017-10-06,297.447,4362.95
2017-10-07,309.532,4371.61
2017-10-08,310.15,4446.51
2017-10-09,304.87,4586.15
2017-10-10,303.55,4696.83
2017-10-11,302.23,4807.52
2017-10-12,308.29900000000004,4903.98
2017-10-13,314.987,5570.98
2017-10-14,341.904,5628.82
2017-10-15,340.17900000000003,5789.13
2017-10-16,348.225,5635.49
2017-10-17,326.16,5474.78
2017-10-18,312.176,5501.61
2017-10-19,310.13,5623.94
2017-10-20,307.423,5696.84
2017-10-21,299.85900000000004,6094.14
2017-10-22,297.921,5884.67
2017-10-23,293.568,6002.55
2017-10-24,309.005,5725.35
2017-10-25,296.14599999999996,5515.41
2017-10-26,297.72,5737.06
2017-10-27,298.14099999999996,5855.77
2017-10-28,296.473,5806.47
2017-10-29,298.02299999999997,5785.96
2017-10-30,307.639,6120.58
2017-10-31,310.548,6161.61
2017-11-01,304.709,6429.8
2017-11-02,286.991,6897.58
2017-11-03,291.188,7249.25
2017-11-04,299.607,7206.49
2017-11-05,300.39599999999996,7461.15
2017-11-06,296.54,7369.46
2017-11-07,299.777,7180.71
2017-11-08,298.688,7416.87
2017-11-09,313.832,7385.72
2017-11-10,319.66200000000003,7218.4
2017-11-11,303.21,6738.86
2017-11-12,298.513,5584.55
2017-11-13,311.046,6304.07
2017-11-14,323.54400000000004,6624.1
2017-11-15,339.97,6876.57
2017-11-16,330.712,7318.79
2017-11-17,331.293,7893.85
2017-11-18,330.935,7614.54
2017-11-19,357.788,7755.38
2017-11-20,357.145,8026.79
2017-11-21,356.756,7991.56
2017-11-22,381.86,8230.83
2017-11-23,402.81,8389.34
2017-11-24,423.75,8547.86
2017-11-25,444.69,8706.37
2017-11-26,451.606,9072.84
2017-11-27,493.405,9716.96
2017-11-28,481.51800000000003,9969.63
2017-11-29,472.56800000000004,10542.8
2017-11-30,440.865,10314.0
2017-12-01,431.195,9732.26
2017-12-02,470.62,11075.5
2017-12-03,466.76,11211.2
2017-12-04,465.45,11432.85
2017-12-05,468.51099999999997,11705.6
2017-12-06,454.212,12671.9
2017-12-07,435.515,14690.4
2017-12-08,427.588,16839.7
2017-12-09,486.13599999999997,15779.7
2017-12-10,447.846,14227.8
2017-12-11,469.63,16971.6
2017-12-12,525.375,16678.1
2017-12-13,645.922,17000.3
2017-12-14,731.706,16408.4
2017-12-15,669.123,17330.8
2017-12-16,691.198,17860.5
2017-12-17,724.097,19565.5
2017-12-18,718.878,19113.2
2017-12-19,847.801,18983.5
2017-12-20,781.143,16587.4
